,Beta,ROI,Subj,Condition,Volume
0,-0.451177,FFA,512,FH,1
1,-0.203937,FFA,512,FH,2
2,0.023294,FFA,512,FH,3
3,0.143861,FFA,512,FH,4
4,0.354782,FFA,512,FH,5
5,0.231619,FFA,512,FH,6
6,0.216749,FFA,512,FH,7
7,0.261005,FFA,512,FH,8
8,0.224206,FFA,512,FH,9
9,0.095621,FFA,512,FH,10
10,0.229696,FFA,512,FH,11
11,0.289482,FFA,512,FH,12
12,0.180157,FFA,512,FH,13
13,0.155604,FFA,512,FH,14
14,-0.086084,FFA,512,FH,15
15,-0.0322746,FFA,512,FH,16
16,0.0175794,FFA,512,FH,17
17,-0.0155016,FFA,512,FH,18
18,-0.20447,FFA,512,FH,19
19,-0.0537606,FFA,512,FH,20
20,-0.0589073,FFA,512,FH,21
21,-0.374788,FFA,512,Fo,1
22,0.0584438,FFA,512,Fo,2
23,0.0651297,FFA,512,Fo,3
24,0.188977,FFA,512,Fo,4
25,0.244528,FFA,512,Fo,5
26,0.349418,FFA,512,Fo,6
27,0.218613,FFA,512,Fo,7
28,0.340972,FFA,512,Fo,8
29,0.161257,FFA,512,Fo,9
30,0.259901,FFA,512,Fo,10
31,0.222547,FFA,512,Fo,11
32,0.0446961,FFA,512,Fo,12
33,0.157938,FFA,512,Fo,13
34,0.0960892,FFA,512,Fo,14
35,-0.0580705,FFA,512,Fo,15
36,-0.0598223,FFA,512,Fo,16
37,0.284609,FFA,512,Fo,17
38,0.33395,FFA,512,Fo,18
39,0.00227528,FFA,512,Fo,19
40,-0.191473,FFA,512,Fo,20
41,-0.0809145,FFA,512,Fo,21
42,-0.0956266,FFA,512,Fp,1
43,0.0963621,FFA,512,Fp,2
44,0.312626,FFA,512,Fp,3
45,0.0919461,FFA,512,Fp,4
46,0.122982,FFA,512,Fp,5
47,-0.141401,FFA,512,Fp,6
48,-0.048733,FFA,512,Fp,7
49,-0.0664588,FFA,512,Fp,8
50,-0.0165915,FFA,512,Fp,9
51,-0.0571383,FFA,512,Fp,10
52,-0.11109,FFA,512,Fp,11
53,-0.125312,FFA,512,Fp,12
54,-0.165839,FFA,512,Fp,13
55,-0.0963041,FFA,512,Fp,14
56,-0.0972291,FFA,512,Fp,15
57,-0.211913,FFA,512,Fp,16
58,-0.029591,FFA,512,Fp,17
59,-0.00348565,FFA,512,Fp,18
60,0.0778343,FFA,512,Fp,19
61,0.0371814,FFA,512,Fp,20
62,0.0710066,FFA,512,Fp,21
63,-0.195868,FFA,512,HF,1
64,0.150471,FFA,512,HF,2
65,0.12135,FFA,512,HF,3
66,0.212637,FFA,512,HF,4
67,0.286614,FFA,512,HF,5
68,0.383676,FFA,512,HF,6
69,0.449236,FFA,512,HF,7
70,0.495736,FFA,512,HF,8
71,0.413277,FFA,512,HF,9
72,0.437088,FFA,512,HF,10
73,0.488363,FFA,512,HF,11
74,0.387314,FFA,512,HF,12
75,0.366036,FFA,512,HF,13
76,0.380172,FFA,512,HF,14
77,0.103587,FFA,512,HF,15
78,-0.00745528,FFA,512,HF,16
79,0.335075,FFA,512,HF,17
80,0.433804,FFA,512,HF,18
81,0.431875,FFA,512,HF,19
82,0.117858,FFA,512,HF,20
83,-0.0896635,FFA,512,HF,21
84,0.0288199,FFA,512,Ho,1
85,-0.111274,FFA,512,Ho,2
86,0.0620312,FFA,512,Ho,3
87,0.410128,FFA,512,Ho,4
88,0.310305,FFA,512,Ho,5
89,0.321975,FFA,512,Ho,6
90,0.299916,FFA,512,Ho,7
91,0.291739,FFA,512,Ho,8
92,0.282069,FFA,512,Ho,9
93,0.185656,FFA,512,Ho,10
94,0.0925891,FFA,512,Ho,11
95,0.147234,FFA,512,Ho,12
96,0.126871,FFA,512,Ho,13
97,-0.0487652,FFA,512,Ho,14
98,-0.0406433,FFA,512,Ho,15
99,-0.0394987,FFA,512,Ho,16
100,-0.113652,FFA,512,Ho,17
101,0.0391944,FFA,512,Ho,18
102,0.00873891,FFA,512,Ho,19
103,-0.0470997,FFA,512,Ho,20
104,-0.165053,FFA,512,Ho,21
105,-0.739145,FFA,512,Hp,1
106,-0.237518,FFA,512,Hp,2
107,-0.0620903,FFA,512,Hp,3
108,-0.248218,FFA,512,Hp,4
109,-0.118006,FFA,512,Hp,5
110,-0.265103,FFA,512,Hp,6
111,-0.213166,FFA,512,Hp,7
112,-0.304212,FFA,512,Hp,8
113,-0.0875712,FFA,512,Hp,9
114,0.0336419,FFA,512,Hp,10
115,0.00249359,FFA,512,Hp,11
116,-0.0500116,FFA,512,Hp,12
117,-0.100239,FFA,512,Hp,13
118,-0.0118466,FFA,512,Hp,14
119,-0.0147989,FFA,512,Hp,15
120,0.0182003,FFA,512,Hp,16
121,0.312237,FFA,512,Hp,17
122,0.263428,FFA,512,Hp,18
123,0.222664,FFA,512,Hp,19
124,0.138521,FFA,512,Hp,20
125,-0.0585565,FFA,512,Hp,21
126,-0.0415639,PPA,512,FH,1
127,0.227544,PPA,512,FH,2
128,0.162388,PPA,512,FH,3
129,0.265775,PPA,512,FH,4
130,0.352815,PPA,512,FH,5
131,0.390631,PPA,512,FH,6
132,0.359625,PPA,512,FH,7
133,0.347467,PPA,512,FH,8
134,0.311079,PPA,512,FH,9
135,0.323825,PPA,512,FH,10
136,0.362118,PPA,512,FH,11
137,0.281508,PPA,512,FH,12
138,0.242752,PPA,512,FH,13
139,0.288366,PPA,512,FH,14
140,0.222802,PPA,512,FH,15
141,0.256608,PPA,512,FH,16
142,0.0854967,PPA,512,FH,17
143,0.0979197,PPA,512,FH,18
144,0.0993539,PPA,512,FH,19
145,0.114971,PPA,512,FH,20
146,-0.0395264,PPA,512,FH,21
147,-0.0393076,PPA,512,Fo,1
148,0.0991667,PPA,512,Fo,2
149,-0.0413621,PPA,512,Fo,3
150,0.235005,PPA,512,Fo,4
151,0.386541,PPA,512,Fo,5
152,0.211417,PPA,512,Fo,6
153,0.232016,PPA,512,Fo,7
154,0.274184,PPA,512,Fo,8
155,0.131962,PPA,512,Fo,9
156,0.122709,PPA,512,Fo,10
157,0.213908,PPA,512,Fo,11
158,0.203662,PPA,512,Fo,12
159,0.146855,PPA,512,Fo,13
160,0.107731,PPA,512,Fo,14
161,0.146017,PPA,512,Fo,15
162,0.226321,PPA,512,Fo,16
163,0.0949824,PPA,512,Fo,17
164,0.117018,PPA,512,Fo,18
165,-0.0370391,PPA,512,Fo,19
166,0.0422314,PPA,512,Fo,20
167,0.101848,PPA,512,Fo,21
168,-0.119508,PPA,512,Fp,1
169,0.0408246,PPA,512,Fp,2
170,-0.0415567,PPA,512,Fp,3
171,0.130255,PPA,512,Fp,4
172,0.197851,PPA,512,Fp,5
173,0.155852,PPA,512,Fp,6
174,0.0997974,PPA,512,Fp,7
175,0.0379542,PPA,512,Fp,8
176,-0.00280974,PPA,512,Fp,9
177,0.0653023,PPA,512,Fp,10
178,0.043678,PPA,512,Fp,11
179,-0.0356252,PPA,512,Fp,12
180,-0.0184034,PPA,512,Fp,13
181,0.0352621,PPA,512,Fp,14
182,0.0932716,PPA,512,Fp,15
183,0.0492525,PPA,512,Fp,16
184,0.0598622,PPA,512,Fp,17
185,0.11339,PPA,512,Fp,18
186,-0.0160734,PPA,512,Fp,19
187,-0.0102881,PPA,512,Fp,20
188,0.149518,PPA,512,Fp,21
189,-0.0544952,PPA,512,HF,1
190,-0.0389925,PPA,512,HF,2
191,0.06241,PPA,512,HF,3
192,0.18638,PPA,512,HF,4
193,0.40842,PPA,512,HF,5
194,0.469837,PPA,512,HF,6
195,0.45788,PPA,512,HF,7
196,0.383408,PPA,512,HF,8
197,0.278094,PPA,512,HF,9
198,0.302014,PPA,512,HF,10
