,Time,Subject,Condition,MotorMapping,Run,FFA,PPA,RH,LH
0,1,503,FH,1,1,0.775637,-0.0272469,0.125665,0.524699
1,2,503,FH,1,1,0.00537656,-0.0802121,-0.113882,0.307431
2,3,503,FH,1,1,0.354558,-0.0103454,-0.0121468,0.0153907
3,4,503,FH,1,1,-1.29754,-0.13508,0.0260285,-0.0665828
4,5,503,FH,1,1,-0.154488,0.158922,-0.120866,-0.121983
5,6,503,FH,1,1,-0.16648,0.0962903,-0.165507,-0.0406503
6,7,503,FH,1,1,-0.561278,-0.172109,-0.0616974,-0.0684368
7,8,503,FH,1,1,-0.130971,0.289567,0.412174,0.04077
8,9,503,FH,1,1,-0.0172608,-0.467516,0.366691,-0.30474
9,10,503,FH,1,1,0.554509,0.374848,0.0349661,-0.3054
10,11,503,FH,1,1,0.225874,0.317766,0.0572932,-0.499001
11,12,503,FH,1,1,0.368641,-0.241566,0.0801447,-0.0849194
12,13,503,FH,1,1,0.0132058,0.742748,-0.341068,-0.192692
13,14,503,FH,1,1,-0.688268,-0.230831,0.33189,0.150628
14,15,503,FH,1,1,-0.397687,0.841762,-0.0182245,-0.182371
15,16,503,FH,1,1,-0.473553,0.208767,0.0792456,0.166238
16,17,503,FH,1,1,-0.330155,-0.066975,-0.184785,-0.0276243
17,18,503,FH,1,1,-0.444948,-0.160275,0.0700642,0.10013
18,19,503,FH,1,1,-1.3861,-0.43281,0.391119,0.28573
19,20,503,FH,1,1,0.0,0.0,0.0,0.0
20,21,503,FH,1,1,0.0,0.0,0.0,0.0
21,22,503,FH,1,1,0.0,0.0,0.0,0.0
22,23,503,FH,1,1,0.0,0.0,0.0,0.0
23,24,503,FH,1,1,0.0,0.0,0.0,0.0
24,25,503,FH,1,1,0.0,0.0,0.0,0.0
25,26,503,FH,1,1,0.0,0.0,0.0,0.0
26,27,503,FH,1,1,0.537748,0.533407,-0.010827,-0.265123
27,28,503,FH,1,1,0.488686,-0.839417,0.263221,0.0666251
28,29,503,FH,1,1,-0.146506,-0.129645,-0.142565,0.184459
29,30,503,FH,1,1,0.3132,0.0261095,-0.0111834,0.0378881
30,31,503,FH,1,1,0.548809,0.161621,-0.192937,0.237167
31,32,503,FH,1,1,-0.286104,-0.468675,0.0481239,0.462717
32,33,503,FH,1,1,0.342087,0.344675,-0.00324039,0.223267
33,34,503,FH,1,1,-0.13188,-0.409886,-0.412976,-0.0557631
34,35,503,FH,1,1,0.357836,0.209501,-0.368274,0.175434
35,36,503,FH,1,1,0.0915444,-0.557753,-0.262099,-0.0525642
36,37,503,FH,1,1,1.09345,0.439207,-0.0409094,-0.233554
37,38,503,FH,1,1,0.877066,-0.53421,0.198193,0.220511
38,39,503,FH,1,1,1.26577,-0.223411,0.0987719,0.00192598
39,40,503,FH,1,1,1.70678,-0.407881,0.329434,-0.316569
40,41,503,FH,1,1,0.340485,0.0944257,0.053042,-0.131244
41,42,503,FH,1,1,-0.321575,0.141169,0.0958417,-0.210886
42,43,503,FH,1,1,0.417735,-0.519429,-0.551357,0.215505
43,44,503,FH,1,1,0.958237,-0.560274,-0.547154,0.254543
44,45,503,FH,1,1,0.201498,-0.499181,-0.466947,0.179707
45,46,503,FH,1,1,-1.00665,-0.72527,-0.0976525,0.142762
46,47,503,FH,1,1,-0.849966,-0.365405,0.107635,-0.124198
47,48,503,FH,1,1,0.0,0.0,0.0,0.0
48,49,503,FH,1,1,0.0,0.0,0.0,0.0
49,50,503,FH,1,1,-0.562752,-0.246659,-0.00691303,-0.194573
50,51,503,FH,1,1,0.30255,0.486249,-0.00505397,0.0850246
51,52,503,FH,1,1,0.944015,0.843696,-0.82081,-0.510294
52,53,503,FH,1,1,1.15747,-0.308264,-0.124152,-0.334522
53,54,503,FH,1,1,1.04578,0.580919,0.0285431,-0.351897
54,55,503,FH,1,1,0.853151,0.710788,-0.0189834,-0.414032
55,56,503,FH,1,1,0.506965,0.879971,-0.160456,-0.108648
56,57,503,FH,1,1,-0.103438,0.479792,-0.200883,-0.0175951
57,58,503,FH,1,1,-0.639977,0.779478,-0.292271,0.0630742
58,59,503,FH,1,1,-0.200098,-1.03323,0.281831,-0.137621
59,60,503,FH,1,1,-0.520358,0.0715085,0.0172867,-0.0449214
60,61,503,FH,1,1,-0.313681,-0.335353,-0.310999,-0.254224
61,62,503,FH,1,1,-0.53976,-0.502161,-0.180339,0.0524356
62,63,503,FH,1,1,-0.517895,0.723922,0.288893,0.0997857
63,64,503,FH,1,1,-0.556634,-0.256455,0.301697,0.116586
64,65,503,FH,1,1,-1.11096,0.592344,0.325163,0.0522385
65,66,503,FH,1,1,-1.28147,-0.393913,0.269427,0.492971
66,67,503,FH,1,1,-0.798955,0.459871,-0.217194,-0.0337046
67,68,503,FH,1,1,-1.16805,-0.545301,0.431463,0.420411
68,69,503,FH,1,1,-1.07898,-0.06832,0.651592,0.19942
69,70,503,FH,1,1,0.0743986,0.185794,0.296036,0.133042
70,71,503,FH,1,1,0.00773602,0.0291445,-0.23935,0.193068
71,72,503,FH,1,1,0.197683,0.298093,0.0706914,-0.159455
72,73,503,FH,1,1,0.675431,0.548819,-0.205767,-0.0180717
73,74,503,FH,1,1,-0.029387,0.339557,-0.122042,0.0697158
74,75,503,FH,1,1,0.192378,0.560975,0.449658,0.406835
75,76,503,FH,1,1,-0.441385,-0.0986386,0.367221,0.00769342
76,77,503,FH,1,1,-0.124791,-0.390875,0.432891,0.161353
77,78,503,FH,1,1,-0.892322,0.52051,0.0399925,0.386263
78,79,503,FH,1,1,-0.722533,-0.808166,-0.0694068,-0.0679519
79,80,503,FH,1,1,-0.122021,0.13237,0.235104,-0.115564
80,81,503,FH,1,1,-0.14675,-0.443302,0.308514,0.0313522
81,82,503,FH,1,1,0.308377,-0.304249,0.55701,0.0704098
82,83,503,FH,1,1,0.0380383,-0.338995,0.362727,-0.241296
83,84,503,FH,1,1,0.0969585,-0.0888209,0.206083,0.000289244
84,85,503,FH,1,1,0.717619,0.0451001,-0.194473,-0.159404
85,86,503,FH,1,1,0.3159,-0.118615,-0.174938,0.0871561
86,87,503,FH,1,1,0.068568,0.211675,-0.182738,-0.116398
87,88,503,FH,1,1,0.150257,-0.250553,-0.0220499,0.00145625
88,89,503,FH,1,1,-0.79186,0.963187,-0.325211,-0.112847
89,90,503,FH,1,1,-0.488343,-0.591912,-0.19569,-0.154768
90,91,503,FH,1,1,-0.461087,0.36778,0.0465845,-0.0958965
91,92,503,FH,1,1,-0.559801,0.278993,0.261517,-0.247909
92,93,503,FH,1,1,0.104927,-0.0386335,0.222354,-0.282124
93,94,503,FH,1,1,0.128437,0.234893,0.201457,-0.0961347
94,95,503,FH,1,1,0.345983,-0.334123,0.166009,0.148861
95,96,503,FH,1,1,1.11043,0.474558,-0.594896,-0.290947
96,97,503,FH,1,1,0.589103,-0.0605479,-0.44991,0.16105
97,98,503,FH,1,1,0.0810051,-0.324491,-0.335926,0.237118
98,99,503,FH,1,1,0.720971,-0.216241,-0.230056,0.0170584
99,100,503,FH,1,1,0.0324503,-0.00701581,-0.115467,-0.144164
100,101,503,FH,1,1,0.0974722,-0.547422,0.0215931,-0.0531477
101,102,503,FH,1,1,0.261919,0.136885,-0.0886128,0.354216
102,1,503,FH,1,2,1.90009,-0.213484,0.71157,0.373491
103,2,503,FH,1,2,1.18056,-0.409889,0.259128,0.0643969
104,3,503,FH,1,2,0.0,0.0,0.0,0.0
105,4,503,FH,1,2,0.0,0.0,0.0,0.0
106,5,503,FH,1,2,0.0,0.0,0.0,0.0
107,6,503,FH,1,2,-0.462381,0.0148704,0.0490769,0.335072
108,7,503,FH,1,2,-0.169005,-0.34253,0.0732844,0.264884
109,8,503,FH,1,2,0.09897,0.098706,-0.139837,-0.413723
110,9,503,FH,1,2,-0.255722,0.0706631,0.283619,-0.257305
111,10,503,FH,1,2,-0.182065,0.234651,-0.594471,-0.352644
112,11,503,FH,1,2,-0.252438,-0.42398,-0.207142,-0.202042
113,12,503,FH,1,2,0.108159,0.545796,-0.472437,-0.433121
114,13,503,FH,1,2,0.457714,-0.249038,-0.32052,-0.052455
115,14,503,FH,1,2,-0.583622,0.0820671,-0.82684,-0.755829
116,15,503,FH,1,2,-0.749961,-0.203947,-0.366113,0.075279
117,16,503,FH,1,2,-0.0770104,0.244851,-0.396994,0.22321
118,17,503,FH,1,2,-1.76264,0.621243,0.00135811,0.494441
119,18,503,FH,1,2,-0.378491,-0.390686,0.198041,0.690054
120,19,503,FH,1,2,0.0689672,0.189375,-0.234593,0.118783
121,20,503,FH,1,2,0.640089,-0.477379,-0.47259,-0.332171
122,21,503,FH,1,2,0.155029,0.0885973,-0.0968409,-0.2819
123,22,503,FH,1,2,-0.338293,-0.338941,0.127788,-0.159819
124,23,503,FH,1,2,-0.336965,0.614468,0.51988,0.110231
125,24,503,FH,1,2,-1.21072,0.0962051,0.446483,0.130557
126,25,503,FH,1,2,-0.277869,0.706413,0.441056,0.222106
