Condition,Subj,MTD_FFA_V1,MTD_PPA_V1,PPA_FIRbeta,FFA_FIRbeta,RepE,RepI,D_prime,MTD_Target,MTD_Dist,FIR_Target,FIR_Dist,BC_IPS_FFA,BC_IPS_PPA,BC_Target,BC_Dist
FH,503,-0.015579475,-0.076514374,-0.080944248,0.153537352,0.171319067,-0.867979725,4.694135,-0.015579475,-0.076514374,0.153537352,-0.080944248,0.104867,-0.025224,0.104867,-0.025224
FH,505,0.319890483,-0.217188506,0.051663032,0.315618095,0.001751006,-0.212127626,3.830145,0.319890483,-0.217188506,0.315618095,0.051663032,-0.149247,0.0279293,-0.149247,0.0279293
FH,508,0.409891221,-0.00242806,0.118866216,0.40513371,0.484357044,-0.251488388,3.814646,0.409891221,-0.00242806,0.40513371,0.118866216,0.247735,-0.0167647,0.247735,-0.0167647
FH,509,0.257097609,0.124233799,0.132268957,0.157672066,0.010180831,-0.418131739,2.855342,0.257097609,0.124233799,0.157672066,0.132268957,-0.0126964,0.146571,-0.0126964,0.146571
FH,510,0.015091541,0.031575511,0.041972229,0.126983048,0.087581635,0.132112026,2.125296,0.015091541,0.031575511,0.126983048,0.041972229,0.175648,0.172055,0.175648,0.172055
FH,512,-0.046148212,0.26749455,0.283632957,0.070025133,0.623808831,0.014476418,4.38042,-0.046148212,0.26749455,0.070025133,0.283632957,-0.0262589,-0.089561,-0.0262589,-0.089561
FH,513,0.049775064,0.317381575,0.151603487,0.225445319,0.006638587,-0.022678673,4.401677,0.049775064,0.317381575,0.225445319,0.151603487,-0.144065,-0.034091,-0.144065,-0.034091
FH,516,0.078479402,0.248147869,0.09809166,0.235893014,-0.0509184,-0.051428318,3.772435,0.078479402,0.248147869,0.235893014,0.09809166,0.0260714,0.0731452,0.0260714,0.0731452
FH,517,-0.276236418,0.247834249,0.046539399,0.222901614,0.101881355,0.331176877,3.353431,-0.276236418,0.247834249,0.222901614,0.046539399,-0.189094,-0.116426,-0.189094,-0.116426
FH,518,0.175874323,-0.013019622,-0.086991511,0.132819457,0.402701825,-0.351161644,4.593392,0.175874323,-0.013019622,0.132819457,-0.086991511,0.237379,-0.119962,0.237379,-0.119962
FH,519,0.287677047,0.186281521,-0.021218438,0.252697786,-0.244699419,-0.106172204,3.482728,0.287677047,0.186281521,0.252697786,-0.021218438,0.116466,-0.0206114,0.116466,-0.0206114
FH,523,0.071922677,0.078582819,0.20505961,0.214118396,1.306811899,-0.5497379,2.795874,0.071922677,0.078582819,0.214118396,0.20505961,0.00579529,-0.0127255,0.00579529,-0.0127255
FH,527,0.361275031,0.232219171,0.210163157,0.496184843,0.180609107,0.055554271,4.463719,0.361275031,0.232219171,0.496184843,0.210163157,-0.115721,0.00404965,-0.115721,0.00404965
FH,528,0.394137675,0.106534214,0.075932871,0.172171405,0.170355022,-0.357429862,4.866446,0.394137675,0.106534214,0.172171405,0.075932871,-0.0390108,0.090075,-0.0390108,0.090075
FH,529,0.574391876,-0.148419723,0.0924092,0.253065395,0.044713259,-0.188588679,4.463889,0.574391876,-0.148419723,0.253065395,0.0924092,0.0549221,0.0991977,0.0549221,0.0991977
FH,530,0.735657023,-0.024542014,-0.019587116,0.444813743,0.178837836,-0.218723416,3.55862,0.735657023,-0.024542014,0.444813743,-0.019587116,0.0215345,-0.157101,0.0215345,-0.157101
FH,531,0.415621579,0.114884185,-0.072721581,-0.136279921,0.274613529,0.540996179,3.476988,0.415621579,0.114884185,-0.136279921,-0.072721581,-0.0848956,0.0339967,-0.0848956,0.0339967
FH,532,0.036776631,0.135348644,0.060869972,0.321020186,0.031764805,-0.001666307,3.495309,0.036776631,0.135348644,0.321020186,0.060869972,-0.0789132,-0.00981147,-0.0789132,-0.00981147
FH,534,0.213487668,0.101543253,0.033143443,0.211727705,0.018622696,-0.443080485,4.847282,0.213487668,0.101543253,0.211727705,0.033143443,-0.0161515,-0.154196,-0.0161515,-0.154196
FH,536,0.427944246,0.370058165,0.088410424,0.09428273,0.01774621,-0.171854824,3.618902,0.427944246,0.370058165,0.09428273,0.088410424,-0.0346946,0.277741,-0.0346946,0.277741
FH,537,0.27550389,-0.091725867,-0.005533071,0.220688698,0.188644648,-0.709824137,7.150051,0.27550389,-0.091725867,0.220688698,-0.005533071,0.0893382,0.136007,0.0893382,0.136007
FH,539,0.155385282,-0.066606628,-0.083261623,0.079623943,0.154969335,0.000128001,4.147427,0.155385282,-0.066606628,0.079623943,-0.083261623,-0.000857401,0.00266872,-0.000857401,0.00266872
FH,540,0.144777229,-0.090252006,0.011592917,0.224036752,-0.194433928,0.005782753,3.555662,0.144777229,-0.090252006,0.224036752,0.011592917,-0.160231,0.0903826,-0.160231,0.0903826
FH,542,0.519158175,0.181009965,-0.080937738,0.842672748,0.365412235,0.015051723,3.806097,0.519158175,0.181009965,0.842672748,-0.080937738,0.106018,0.0565837,0.106018,0.0565837
FH,546,0.235495341,0.324959525,0.135175033,0.34225599,0.031827986,-0.077129424,4.527922,0.235495341,0.324959525,0.34225599,0.135175033,0.00040453,0.0836585,0.00040453,0.0836585
FH,547,0.231560548,0.153185261,0.297192448,0.284739233,0.029038191,-0.25382483,4.16767,0.231560548,0.153185261,0.284739233,0.297192448,-0.0992642,-0.119468,-0.0992642,-0.119468
FH,549,0.260818038,-0.349046444,0.041278935,0.012673456,-0.806590727,-0.191424906,4.102392,0.260818038,-0.349046444,0.012673456,0.041278935,-0.0715807,-0.0876755,-0.0715807,-0.0876755
FH,550,0.211152099,0.053146609,-0.138871681,0.985739138,0.114621937,0.399115175,2.909687,0.211152099,0.053146609,0.985739138,-0.138871681,-0.086884,-0.167183,-0.086884,-0.167183
HF,503,-0.188303702,0.115902166,0.117652034,-0.114160758,-0.279829204,0.194358766,8.695773,0.115902166,-0.188303702,0.117652034,-0.114160758,-0.127018,-0.057831,-0.057831,-0.127018
HF,505,0.238167356,0.070785935,0.12589529,0.136228244,0.047006905,-0.012788892,6.698997,0.070785935,0.238167356,0.12589529,0.136228244,-0.114007,-0.0106372,-0.0106372,-0.114007
HF,508,0.460690009,0.034864421,0.251743357,0.398382533,0.113851249,1.020323053,4.642916,0.034864421,0.460690009,0.251743357,0.398382533,0.103638,-0.132293,-0.132293,0.103638
HF,509,0.038461753,0.107891814,0.209129233,-0.05677889,0.038410485,0.046950519,5.211548,0.107891814,0.038461753,0.209129233,-0.05677889,-0.0756747,0.123745,0.123745,-0.0756747
HF,510,0.167236306,0.163955003,0.13524456,0.111542577,0.034481287,0.008212924,2.393706,0.163955003,0.167236306,0.13524456,0.111542577,0.222554,0.246898,0.246898,0.222554
HF,512,0.017100658,0.547031141,0.127932016,0.001080688,0.009034157,0.389047354,8.584329,0.547031141,0.017100658,0.127932016,0.001080688,-0.152778,-0.0266391,-0.0266391,-0.152778
HF,513,-0.063154318,0.502574619,0.322755591,0.186266518,0.011743784,-0.036295831,9.517602,0.502574619,-0.063154318,0.322755591,0.186266518,0.0588607,-0.0950581,-0.0950581,0.0588607
HF,516,0.207896317,0.417832544,0.20575741,0.274459557,0.093807638,-0.0393821,5.091352,0.417832544,0.207896317,0.20575741,0.274459557,0.0483017,0.108747,0.108747,0.0483017
HF,517,-0.206650758,0.370258198,-0.05272134,0.22261449,-0.036676139,0.324163049,4.059976,0.370258198,-0.206650758,-0.05272134,0.22261449,-0.13118,-0.0724694,-0.0724694,-0.13118
HF,518,0.139807524,-0.008787538,0.10811183,0.15397451,0.576254815,0.244873792,4.895075,-0.008787538,0.139807524,0.10811183,0.15397451,0.149359,0.00926508,0.00926508,0.149359
HF,519,0.211189342,0.142634832,0.257946395,0.086027086,0.479056835,-0.016081214,4.160241,0.142634832,0.211189342,0.257946395,0.086027086,0.105464,0.0113847,0.0113847,0.105464
HF,523,0.106794542,0.321789582,0.394437767,0.146650329,0.222969532,1.320646733,3.491665,0.321789582,0.106794542,0.394437767,0.146650329,0.0279001,0.120781,0.120781,0.0279001
HF,527,0.175975296,0.079817118,0.278934595,0.508593676,0.051717818,0.15671885,4.135124,0.079817118,0.175975296,0.278934595,0.508593676,-0.137829,-0.045933,-0.045933,-0.137829
HF,528,0.217641086,0.291907103,0.327246335,0.027030501,0.086452365,0.200380802,5.596974,0.291907103,0.217641086,0.327246335,0.027030501,0.0419026,0.16463,0.16463,0.0419026
HF,529,0.54640523,-0.060592539,0.175341776,0.351774867,0.198958993,0.024689317,5.276766,-0.060592539,0.54640523,0.175341776,0.351774867,0.230818,0.072784,0.072784,0.230818
HF,530,0.488122889,0.343628126,0.20884517,0.172906967,0.063017905,0.135643482,4.628858,0.343628126,0.488122889,0.20884517,0.172906967,0.0476357,-0.0731743,-0.0731743,0.0476357
HF,531,0.348400662,0.068366177,-0.153631496,0.053705286,0.43565391,0.730575621,6.148766,0.068366177,0.348400662,-0.153631496,0.053705286,-0.178963,-0.00627533,-0.00627533,-0.178963
HF,532,0.228930557,0.253606357,0.259655451,0.362161186,0.034642816,0.237929821,5.889944,0.253606357,0.228930557,0.259655451,0.362161186,-0.137643,0.0457223,0.0457223,-0.137643
HF,534,0.308998983,0.126263549,0.192313819,0.045751914,-0.011035621,-0.027273297,6.350774,0.126263549,0.308998983,0.192313819,0.045751914,0.0392654,-0.07008,-0.07008,0.0392654
HF,536,0.219907325,0.337510892,0.030334206,0.036302458,-0.149739712,0.004019856,4.839744,0.337510892,0.219907325,0.030334206,0.036302458,-0.208018,0.34086,0.34086,-0.208018
HF,537,0.144686273,-0.059585057,0.139866729,0.071104681,-0.044201434,0.167864978,7.87369,-0.059585057,0.144686273,0.139866729,0.071104681,-0.0233651,0.0628132,0.0628132,-0.0233651
HF,539,-0.083511522,-0.009182977,-0.097377605,-0.028163067,-0.090667486,0.162499487,5.308914,-0.009182977,-0.083511522,-0.097377605,-0.028163067,-0.0178416,0.0314922,0.0314922,-0.0178416
HF,540,0.364697174,-0.454367094,0.097801019,0.089850702,0.257682532,0.126901984,4.466428,-0.454367094,0.364697174,0.097801019,0.089850702,-0.0732817,0.211256,0.211256,-0.0732817
HF,542,0.529849822,0.103921899,0.103867019,0.303743805,-0.07981962,-0.847506434,4.126142,0.103921899,0.529849822,0.103867019,0.303743805,0.225406,-0.0559083,-0.0559083,0.225406
HF,546,0.406468029,0.430767825,0.295701048,0.230440747,0.039971352,0.019681931,9.089241,0.430767825,0.406468029,0.295701048,0.230440747,0.00964526,0.216889,0.216889,0.00964526
HF,547,0.244109915,0.246823221,0.380265984,0.113499533,-0.095969915,0.048694849,6.368171,0.246823221,0.244109915,0.380265984,0.113499533,-0.269931,-0.0773206,-0.0773206,-0.269931
HF,549,0.298243251,-0.230763935,0.081137258,0.06747461,0.027395308,0.002950728,3.37615,-0.230763935,0.298243251,0.081137258,0.06747461,-0.105549,0.129668,0.129668,-0.105549
HF,550,0.037751543,0.210767543,0.032790842,0.432571476,0.437221438,0.089994967,3.732565,0.210767543,0.037751543,0.032790842,0.432571476,-0.0690404,-0.0392118,-0.0392118,-0.0690404
