i,Subject,FFARepEnhancement,FFARepSuppression,PPARepEnhancement,PPARepSuppression
0,503,0.0786722302437,-0.0453326106071,-0.227196842432,-0.398915827274
1,505,-0.158480525017,-0.279216974974,0.659487694502,0.467040300369
2,508,0.233764588833,0.325197458267,0.247365176678,-0.0904158651829
3,509,0.20938333869,-0.272858045995,-0.235618174076,-0.414536565542
4,510,0.750036597252,0.556187495589,-0.122306585312,-0.136191666126
5,512,0.11630910635,0.168708562851,-0.151951730251,0.130271375179
6,513,0.0559023022652,-0.0801557898521,0.0343498587608,-0.458055436611
7,516,-0.19304049015,-0.100601553917,0.440275043249,-0.367734909058
8,517,-0.128880470991,-0.485677674413,0.0444184541702,0.0965457558632
9,518,0.464128762484,0.543216973543,-0.292845487595,-0.592107638717
10,519,-0.189434349537,-0.0527896881104,0.179110229015,-0.621469058096
11,523,0.606708467007,0.68059617281,0.174360364676,0.278298437595
12,527,0.11124765873,-0.0198411345482,0.0180852413177,-0.158430814743
13,528,-0.390340775251,-0.408518612385,-0.247883230448,-0.169138431549
14,529,-0.0798637270927,0.0128693580627,0.112817108631,-0.00724709033966
15,530,-0.120703279972,-0.137670636177,0.0220054686069,-0.508785158396
16,531,-0.156181782484,-0.133560121059,0.0902775526047,0.118172705173
17,532,-0.266101390123,0.0565230846405,0.444767013192,0.372480228543
18,534,-0.201716780663,-0.392347037792,-0.2346906811,0.000636368989944
